"","player_id","seconds","bpm","total","vorp","year","type"
"159","lenal01",512,-24.7,2880,-4,2020,"reg"
"160","huntede01",2117,-5.2,2880,-2.4,2020,"reg"
"161","bembrde01",2079,16.3,2880,13.2,2020,"reg"
"162","youngtr01",1900,-13,2880,-7.3,2020,"reg"
"163","jonesda03",1480,3.3,2880,2.7,2020,"reg"
"164","parkeja01",1236,1.4,2880,1.5,2020,"reg"
"165","crabbal01",1370,-20.2,2880,-8.7,2020,"reg"
"166","parsoch01",988,4,2880,2.1,2020,"reg"
"167","lenal01",954,2.3,2880,1.4,2020,"reg"
"168","fernabr01",587,-16.1,2880,-2.9,2020,"reg"
"169","wallaty01",572,1.7,2880,0.7,2020,"reg"
"170","cartevi01",571,-43,2880,-8.1,2020,"reg"
"171","turneev01",546,-26.4,2880,-4.6,2020,"reg"
"172","youngtr01",2483,2.4,2880,3.8,2020,"reg"
"173","huntede01",2093,1.7,2880,2.7,2020,"reg"
"174","bembrde01",1918,2.6,2880,3.1,2020,"reg"
"175","parkeja01",1747,-4.3,2880,-1.4,2020,"reg"
"176","jonesda03",1376,-2.1,2880,0,2020,"reg"
"177","crabbal01",1434,-2.7,2880,-0.3,2020,"reg"
"178","cartevi01",1157,0.8,2880,1.1,2020,"reg"
"179","fernabr01",969,6,2880,2.7,2020,"reg"
"180","turneev01",721,-17.8,2880,-4,2020,"reg"
"181","lenal01",502,-0.9,2880,0.2,2020,"reg"
"182","huntede01",2236,-14,2880,-9.3,2020,"reg"
"183","youngtr01",2074,3.3,2880,3.8,2020,"reg"
"184","parkeja01",2024,3.8,2880,4.1,2020,"reg"
"185","reddica01",1733,-10,2880,-4.8,2020,"reg"
"186","jonesda03",1137,-0.6,2880,0.6,2020,"reg"
"187","crabbal01",1362,-0.9,2880,0.5,2020,"reg"
"188","fernabr01",1043,8,2880,3.6,2020,"reg"
"189","cartevi01",955,-8.1,2880,-2,2020,"reg"
"190","bembrde01",954,1.3,2880,1.1,2020,"reg"
"191","turneev01",648,-3.5,2880,-0.3,2020,"reg"
"192","lenal01",234,-8,2880,-0.5,2020,"reg"
"193","parkeja01",2209,13.5,2880,11.9,2020,"reg"
"194","huntede01",2120,-8.5,2880,-4.8,2020,"reg"
"195","youngtr01",2106,7.6,2880,7,2020,"reg"
"196","reddica01",1331,-2.7,2880,-0.3,2020,"reg"
"197","jonesda03",1284,0.1,2880,0.9,2020,"reg"
"198","bembrde01",1312,-3.6,2880,-0.7,2020,"reg"
"199","crabbal01",1223,-7.9,2880,-2.5,2020,"reg"
"200","cartevi01",1011,-9.7,2880,-2.7,2020,"reg"
"201","fernabr01",940,-6.4,2880,-1.4,2020,"reg"
"202","turneev01",864,-8.4,2880,-1.9,2020,"reg"
"203","youngtr01",2559,17.8,3180,15.9,2020,"reg"
"204","huntede01",2444,-8.3,3180,-4.8,2020,"reg"
"205","parkeja01",1869,-2.9,3180,-0.5,2020,"reg"
"206","jonesda03",1253,-8.2,3180,-2.4,2020,"reg"
"207","reddica01",686,-19,3180,-3.7,2020,"reg"
"208","bembrde01",2434,4.4,3180,4.9,2020,"reg"
"209","lenal01",1720,5.2,3180,3.9,2020,"reg"
"210","fernabr01",873,3.6,3180,1.5,2020,"reg"
"211","turneev01",791,-9.4,3180,-1.8,2020,"reg"
"212","cartevi01",645,-15.6,3180,-2.8,2020,"reg"
"213","crabbal01",626,-15,3180,-2.6,2020,"reg"
"214","youngtr01",1883,13.9,2880,10.4,2020,"reg"
"215","huntede01",1743,-9.8,2880,-4.7,2020,"reg"
"216","crabbal01",1438,-3.9,2880,-0.9,2020,"reg"
"217","parkeja01",1208,-2.9,2880,-0.4,2020,"reg"
"218","jonesda03",864,-5.5,2880,-1,2020,"reg"
"219","bembrde01",1392,-21.2,2880,-9.3,2020,"reg"
"220","cartevi01",1114,-14.1,2880,-4.7,2020,"reg"
"221","wallaty01",997,-12.3,2880,-3.6,2020,"reg"
"222","parsoch01",980,-9.1,2880,-2.4,2020,"reg"
"223","turneev01",935,-9.6,2880,-2.5,2020,"reg"
"224","fernabr01",927,-8.8,2880,-2.2,2020,"reg"
"225","lenal01",919,-4.4,2880,-0.8,2020,"reg"
"226","youngtr01",2031,-4.2,2880,-1.6,2020,"reg"
"227","huntede01",1899,0.8,2880,1.8,2020,"reg"
"228","bembrde01",1688,8.1,2880,5.9,2020,"reg"
"229","parkeja01",1685,-7.9,2880,-3.5,2020,"reg"
"230","jonesda03",1540,4.6,2880,3.5,2020,"reg"
"231","reddica01",1415,-8.3,2880,-3.1,2020,"reg"
"232","turneev01",1190,11.7,2880,5.7,2020,"reg"
"233","lenal01",1026,8.3,2880,3.7,2020,"reg"
"234","cartevi01",713,15.2,2880,4.3,2020,"reg"
"235","wallaty01",634,0.5,2880,0.6,2020,"reg"
"236","fernabr01",432,-8.2,2880,-0.9,2020,"reg"
"237","goodwbr01",147,-30.1,2880,-1.4,2020,"reg"
"238","youngtr01",2235,7.4,2880,7.3,2020,"reg"
"239","reddica01",2214,7,2880,6.9,2020,"reg"
"240","bembrde01",2033,-13.2,2880,-7.9,2020,"reg"
"241","parkeja01",1763,-15.1,2880,-8,2020,"reg"
"242","jonesda03",1706,2.9,2880,2.9,2020,"reg"
"243","turneev01",1247,-8.5,2880,-2.8,2020,"reg"
"244","lenal01",1017,18.3,2880,7.2,2020,"reg"
"245","huertke01",926,-5.7,2880,-1.2,2020,"reg"
"246","cartevi01",686,-7.2,2880,-1.2,2020,"reg"
"247","wallaty01",237,-31.7,2880,-2.4,2020,"reg"
"248","goodwbr01",179,-45.1,2880,-2.7,2020,"reg"
"249","fernabr01",157,-10.2,2880,-0.4,2020,"reg"
"250","youngtr01",2100,3.6,2880,4.1,2020,"reg"
"251","reddica01",1770,-12.8,2880,-6.6,2020,"reg"
"252","parkeja01",1598,-0.3,2880,0.9,2020,"reg"
"253","huertke01",1432,12.7,2880,7.3,2020,"reg"
"254","jonesda03",1274,-3,2880,-0.4,2020,"reg"
"255","huntede01",1671,-3.9,2880,-1.1,2020,"reg"
"256","crabbal01",1361,0.9,2880,1.4,2020,"reg"
"257","cartevi01",1225,7.5,2880,4,2020,"reg"
"258","lenal01",1154,3.3,2880,2.1,2020,"reg"
"259","bembrde01",456,-9.9,2880,-1.3,2020,"reg"
"260","fernabr01",359,-7.2,2880,-0.6,2020,"reg"
"261","youngtr01",2468,-8.7,3180,-5.2,2020,"reg"
"262","huntede01",2416,6.4,3180,6.4,2020,"reg"
"263","parkeja01",1813,0.8,3180,1.6,2020,"reg"
"264","huertke01",1549,5.1,3180,3.5,2020,"reg"
"265","jonesda03",792,-15,3180,-3.2,2020,"reg"
"266","cartevi01",1568,-1,3180,0.5,2020,"reg"
"267","reddica01",1398,-6.7,3180,-2.1,2020,"reg"
"268","lenal01",1332,3.5,3180,2.3,2020,"reg"
"269","crabbal01",1322,5.6,3180,3.2,2020,"reg"
"270","bembrde01",818,-20.2,3180,-4.7,2020,"reg"
"271","fernabr01",424,-14.2,3180,-1.6,2020,"reg"
"272","youngtr01",1904,-7.8,2880,-3.8,2020,"reg"
"273","huertke01",1459,-6.5,2880,-2.3,2020,"reg"
"274","huntede01",1434,-8.8,2880,-3.4,2020,"reg"
"275","parkeja01",1268,-4.5,2880,-1.1,2020,"reg"
"276","jonesda03",835,-1.5,2880,0.1,2020,"reg"
"277","reddica01",1740,-7.8,2880,-3.5,2020,"reg"
"278","crabbal01",1291,-1.5,2880,0.2,2020,"reg"
"279","lenal01",1186,12.1,2880,5.8,2020,"reg"
"280","fernabr01",794,-0.4,2880,0.4,2020,"reg"
"281","cartevi01",770,-10.8,2880,-2.4,2020,"reg"
"282","turneev01",760,-20.2,2880,-4.8,2020,"reg"
"283","bembrde01",479,-7.7,2880,-0.9,2020,"reg"
"284","parsoch01",479,-5.9,2880,-0.6,2020,"reg"
"285","youngtr01",2242,-0.7,2880,1,2020,"reg"
"286","huntede01",2218,1.4,2880,2.6,2020,"reg"
"287","huertke01",1800,-10.1,2880,-5.1,2020,"reg"
"288","parkeja01",1645,1.8,2880,2.2,2020,"reg"
"289","jonesda03",1103,7.1,2880,3.5,2020,"reg"
"290","reddica01",1829,-6.8,2880,-3,2020,"reg"
"291","crabbal01",1483,-7.2,2880,-2.7,2020,"reg"
"292","lenal01",1297,9.9,2880,5.4,2020,"reg"
"293","cartevi01",755,-7.3,2880,-1.4,2020,"reg"
"294","bembrde01",28,-8.3,2880,-0.1,2020,"reg"
"295","huntede01",2210,-6.4,2880,-3.4,2020,"reg"
"296","youngtr01",2187,6.9,2880,6.8,2020,"reg"
"297","parkeja01",1606,1.9,2880,2.2,2020,"reg"
"298","huertke01",1409,-4,2880,-1,2020,"reg"
"299","jonesda03",1269,5.2,2880,3.2,2020,"reg"
"300","reddica01",1757,-5.1,2880,-1.9,2020,"reg"
"301","lenal01",1402,3.5,2880,2.7,2020,"reg"
"302","cartevi01",1260,-3.4,2880,-0.6,2020,"reg"
"303","crabbal01",1094,-5.2,2880,-1.2,2020,"reg"
"304","fernabr01",204,16.1,2880,1.3,2020,"reg"
"305","youngtr01",2480,6.9,2880,7.7,2020,"reg"
"306","huertke01",1935,-0.7,2880,0.9,2020,"reg"
"307","huntede01",1883,-6.9,2880,-3.2,2020,"reg"
"308","parkeja01",1140,-2.8,2880,-0.3,2020,"reg"
"309","jonesda03",553,-9.2,2880,-1.4,2020,"reg"
"310","reddica01",1609,-9.9,2880,-4.4,2020,"reg"
"311","lenal01",1488,-10.3,2880,-4.3,2020,"reg"
"312","cartevi01",1430,4.7,2880,3.3,2020,"reg"
"313","bembrde01",740,-6.7,2880,-1.2,2020,"reg"
"314","crabbal01",690,-26.1,2880,-5.8,2020,"reg"
"315","fernabr01",452,-11.4,2880,-1.5,2020,"reg"
"316","youngtr01",2456,0.6,2880,2.2,2020,"reg"
"317","reddica01",2081,0.2,2880,1.6,2020,"reg"
"318","huertke01",1922,-0.5,2880,1,2020,"reg"
"319","huntede01",1381,-11.1,2880,-4.4,2020,"reg"
"320","fernabr01",1030,-14.1,2880,-4.3,2020,"reg"
"321","parkeja01",1438,15.1,2880,8.5,2020,"reg"
"322","crabbal01",1389,-2.3,2880,-0.1,2020,"reg"
"323","bembrde01",1211,1.3,2880,1.4,2020,"reg"
"324","lenal01",1007,-3.2,2880,-0.4,2020,"reg"
"325","turneev01",485,-7.7,2880,-1,2020,"reg"
"326","youngtr01",2421,10.2,2880,10.3,2020,"reg"
"327","huntede01",2298,-1.9,2880,0.1,2020,"reg"
"328","huertke01",2151,-5.6,2880,-2.7,2020,"reg"
"329","reddica01",1603,-10.6,2880,-4.8,2020,"reg"
"330","fernabr01",1009,-8.3,2880,-2.2,2020,"reg"
"331","lenal01",1555,11.2,2880,7.1,2020,"reg"
"332","bembrde01",1269,-3.4,2880,-0.6,2020,"reg"
"333","parkeja01",899,-10.2,2880,-2.6,2020,"reg"
"334","crabbal01",713,-10.1,2880,-2,2020,"reg"
"335","cartevi01",482,-21.1,2880,-3.2,2020,"reg"
"336","huntede01",2360,-4.7,2880,-2.2,2020,"reg"
"337","youngtr01",2168,7.1,2880,6.9,2020,"reg"
"338","collijo01",2090,4,2880,4.4,2020,"reg"
"339","huertke01",1904,5.4,2880,4.9,2020,"reg"
"340","fernabr01",621,-8.8,2880,-1.5,2020,"reg"
"341","reddica01",1383,-3.6,2880,-0.8,2020,"reg"
"342","bembrde01",1156,-8.3,2880,-2.5,2020,"reg"
"343","parkeja01",915,-13,2880,-3.5,2020,"reg"
"344","cartevi01",900,-6.2,2880,-1.3,2020,"reg"
"345","jonesda03",515,-12.3,2880,-1.8,2020,"reg"
"346","lenal01",388,-16.4,2880,-1.9,2020,"reg"
"347","huertke01",1624,-1.9,2880,0.1,2020,"reg"
"348","collijo01",1563,-5.8,2880,-2.1,2020,"reg"
"349","huntede01",1362,-11.9,2880,-4.7,2020,"reg"
"350","fernabr01",939,-5.5,2880,-1.1,2020,"reg"
"351","youngtr01",912,-3.3,2880,-0.4,2020,"reg"
"352","reddica01",1806,-2.8,2880,-0.5,2020,"reg"
"353","crabbal01",1261,20,2880,9.6,2020,"reg"
"354","jonesda03",1136,-6.9,2880,-1.9,2020,"reg"
"355","bembrde01",917,4.3,2880,2,2020,"reg"
"356","goodwbr01",853,-13.9,2880,-3.5,2020,"reg"
"357","cartevi01",747,-7.6,2880,-1.5,2020,"reg"
"358","parsoch01",657,-16.2,2880,-3.2,2020,"reg"
"359","turneev01",623,-10.4,2880,-1.8,2020,"reg"
"360","collijo01",1979,15.2,2880,11.8,2020,"reg"
"361","huntede01",1812,-14.3,2880,-7.7,2020,"reg"
"362","huertke01",1785,-18.7,2880,-10.4,2020,"reg"
"363","reddica01",1660,-2.4,2880,-0.2,2020,"reg"
"364","fernabr01",822,-13,2880,-3.1,2020,"reg"
"365","crabbal01",1401,-10.7,2880,-4.2,2020,"reg"
"366","bembrde01",1337,-10.4,2880,-3.9,2020,"reg"
"367","lenal01",1205,4,2880,2.5,2020,"reg"
