"","input","t_test_GmSc_p","t_test_net_p","ks_test_GmSc_p","ks_test_net_p","ad_test_GmSc_p","ad_test_net_p"
"66","portete01",0.343367393519702,0.726479371921699,0.247564234148284,0.519268920485031,0.35729,0.41541
"67","smithjr01",0.00532243784838162,0.60562528905744,0.0132076825716704,0.732447568166417,0.011735,0.58902
"68","finlemi01",4.11631022100574e-05,0.0181314745469228,0.000457290901467058,0.0618283825045803,9.3061e-06,0.0018367
"69","robincl01",0.222946689968845,0.836196326206758,0.0920433845447898,0.876030016122072,0.16402,0.83932
"70","johnske02",0.459136036214327,9.12401791549892e-06,0.392968676953544,0.00445229393919886,0.32556,4.1796e-05
"71","mckeyde01",0.00491357995891177,0.0245273139897226,0.0083272745605049,0.034228708306812,0.0014081,0.012849
"72","jacksma01",0.0351145015880674,0.196155468185181,0.0774577287208088,0.169188394122862,0.055418,0.14501
"73","laimbbi01",0.0412447446372379,0.223336031227745,0.0288178650193884,0.190683477198347,0.069904,0.17826
"74","divacvl01",0.252058599540341,0.434942383057242,0.553357708269112,0.265908286903188,0.45085,0.30946
"75","davisda01",0.0153030420050535,0.00160225032434446,0.0334397914545166,0.0453249421294586,0.010142,0.0027711
"76","irvinky01",0.949709622288624,0.580332909063227,0.128813093539249,0.225995913244645,0.44175,0.29847
"77","smartma01",0.169041087216154,0.249906791639133,0.489822585630028,0.226187213679171,0.28762,0.41909
"78","millspa01",0.00729326558354712,0.0317905220622146,0.00119919622888395,0.0208445863149278,0.0016965,0.0078334
"79","cassesa01",5.07892405501803e-07,0.00215474479351925,1.29487434944269e-06,0.00195588692746354,8.7599e-09,0.00077708
"80","cartwbi01",7.58687595183864e-09,0.0180428382138233,0.00050587264045164,0.0672323578993145,2.1519e-06,0.014304
"81","bibbymi01",0.00575306730659295,0.0237574365312063,0.00351780452543905,0.0686284230539154,0.0010565,0.025271
"82","gasolma01",0.527111361581268,0.782744929573828,0.958237190639011,0.976914293447581,0.9246,0.80396
"83","kerseje01",0.0250477407583192,0.707667713713393,0.129369834339891,0.407390923914983,0.024916,0.35684
"84","arizatr01",0.42758314480595,0.444111461856983,0.0814312023554041,0.325073966666835,0.068563,0.076333
"85","holidjr01",0.361279052618683,0.265011542993788,0.175633899390596,0.853109234044931,0.23041,0.53189
"86","korveky01",0.00151782335495647,0.111891784202394,0.00349913313168794,0.197934093707422,0.00089506,0.088946
